18 recordings, train split, ASR = large-v3-turbo, update every 1 s
{'kappa': 0.25, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.769  ±1 0.947  dua 0.976  wrong 0.002  lag 1.2
{'kappa': 0.25, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.769  ±1 0.947  dua 0.977  wrong 0.002  lag 1.2
{'kappa': 0.25, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.770  ±1 0.947  dua 0.976  wrong 0.002  lag 1.2
{'kappa': 0.25, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.770  ±1 0.947  dua 0.976  wrong 0.002  lag 1.2
{'kappa': 0.25, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.771  ±1 0.948  dua 0.977  wrong 0.002  lag 1.2
{'kappa': 0.25, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.770  ±1 0.948  dua 0.976  wrong 0.002  lag 1.2
{'kappa': 0.25, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.770  ±1 0.948  dua 0.976  wrong 0.002  lag 1.2
{'kappa': 0.25, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.770  ±1 0.948  dua 0.976  wrong 0.002  lag 1.2
{'kappa': 0.25, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 1e-05}  line 0.763  ±1 0.942  dua 0.976  wrong 0.003  lag 1.0
{'kappa': 0.25, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.763  ±1 0.942  dua 0.977  wrong 0.003  lag 1.0
{'kappa': 0.25, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.763  ±1 0.943  dua 0.977  wrong 0.002  lag 1.0
{'kappa': 0.25, 'max_speed': 4.0, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.766  ±1 0.944  dua 0.976  wrong 0.002  lag 1.0
{'kappa': 0.25, 'max_speed': 4.0, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.767  ±1 0.944  dua 0.976  wrong 0.002  lag 1.0
{'kappa': 0.25, 'max_speed': 4.0, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.767  ±1 0.945  dua 0.977  wrong 0.002  lag 1.0
{'kappa': 0.25, 'max_speed': 4.0, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.768  ±1 0.946  dua 0.976  wrong 0.002  lag 1.1
{'kappa': 0.25, 'max_speed': 4.0, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.768  ±1 0.946  dua 0.976  wrong 0.002  lag 1.1
{'kappa': 0.25, 'max_speed': 4.0, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.768  ±1 0.947  dua 0.977  wrong 0.002  lag 1.1
{'kappa': 0.35, 'max_speed': 1.5, 'p_back': 0.005, 'p_teleport': 1e-05}  line 0.746  ±1 0.947  dua 0.979  wrong 0.002  lag 1.5
